Room,BlockStart,StudentCount,Ratio,RequiredStaff
Grampy Tom Multi-Age,2024-01-17 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-01-23 07:00:00,1,4,2
Grampy Tom Multi-Age,2024-01-23 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-01-25 07:00:00,2,4,2
Grampy Tom Multi-Age,2024-01-25 07:30:00,2,4,2
Grampy Tom Multi-Age,2024-01-25 08:00:00,2,4,2
Grampy Tom Multi-Age,2024-01-25 08:30:00,1,4,2
Grampy Tom Multi-Age,2024-01-25 09:00:00,1,4,2
Grampy Tom Multi-Age,2024-01-25 09:30:00,1,4,2
Grampy Tom Multi-Age,2024-01-29 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-01-29 08:00:00,1,4,2
Grampy Tom Multi-Age,2024-01-31 08:00:00,1,4,2
Grampy Tom Multi-Age,2024-01-31 08:30:00,1,4,2
Grampy Tom Multi-Age,2024-02-06 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-02-08 08:00:00,1,4,2
Grampy Tom Multi-Age,2024-02-12 07:00:00,1,4,2
Grampy Tom Multi-Age,2024-02-12 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-02-12 08:00:00,1,4,2
Grampy Tom Multi-Age,2024-02-14 11:00:00,1,4,2
Grampy Tom Multi-Age,2024-02-14 11:30:00,1,4,2
Grampy Tom Multi-Age,2024-02-20 08:00:00,1,4,2
Grampy Tom Multi-Age,2024-02-20 08:30:00,1,4,2
Grampy Tom Multi-Age,2024-02-20 09:00:00,1,4,2
Grampy Tom Multi-Age,2024-02-20 09:30:00,1,4,2
Grampy Tom Multi-Age,2024-02-20 10:00:00,1,4,2
Grampy Tom Multi-Age,2024-02-20 10:30:00,1,4,2
Grampy Tom Multi-Age,2024-02-20 11:00:00,1,4,2
Grampy Tom Multi-Age,2024-02-20 11:30:00,1,4,2
Grampy Tom Multi-Age,2024-02-20 12:00:00,1,4,2
Grampy Tom Multi-Age,2024-02-22 07:00:00,1,4,2
Grampy Tom Multi-Age,2024-02-22 14:00:00,1,4,2
Grampy Tom Multi-Age,2024-02-22 14:30:00,1,4,2
Grampy Tom Multi-Age,2024-02-22 15:00:00,1,4,2
Grampy Tom Multi-Age,2024-02-22 15:30:00,1,4,2
Grampy Tom Multi-Age,2024-02-22 16:00:00,1,4,2
Grampy Tom Multi-Age,2024-02-26 07:00:00,1,4,2
Grampy Tom Multi-Age,2024-02-26 07:30:00,2,4,2
Grampy Tom Multi-Age,2024-02-28 11:30:00,1,4,2
Grampy Tom Multi-Age,2024-02-28 12:00:00,1,4,2
Grampy Tom Multi-Age,2024-02-28 12:30:00,1,4,2
Grampy Tom Multi-Age,2024-02-28 13:00:00,1,4,2
Grampy Tom Multi-Age,2024-02-28 13:30:00,1,4,2
Grampy Tom Multi-Age,2024-02-28 14:00:00,1,4,2
Grampy Tom Multi-Age,2024-02-28 14:30:00,1,4,2
Grampy Tom Multi-Age,2024-02-28 15:00:00,1,4,2
Grampy Tom Multi-Age,2024-02-28 15:30:00,1,4,2
Grampy Tom Multi-Age,2024-02-28 16:00:00,1,4,2
Grampy Tom Multi-Age,2024-02-28 16:30:00,1,4,2
Grampy Tom Multi-Age,2024-03-05 07:00:00,1,4,2
Grampy Tom Multi-Age,2024-03-05 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-03-13 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-03-25 07:00:00,1,4,2
Grampy Tom Multi-Age,2024-03-25 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-03-27 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-03-27 08:00:00,1,4,2
Grampy Tom Multi-Age,2024-04-08 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-04-08 08:00:00,1,4,2
Grampy Tom Multi-Age,2024-04-08 08:30:00,1,4,2
Grampy Tom Multi-Age,2024-04-08 09:00:00,1,4,2
Grampy Tom Multi-Age,2024-04-08 09:30:00,1,4,2
Grampy Tom Multi-Age,2024-04-08 10:00:00,1,4,2
Grampy Tom Multi-Age,2024-04-08 10:30:00,1,4,2
Grampy Tom Multi-Age,2024-04-10 07:00:00,1,4,2
Grampy Tom Multi-Age,2024-04-18 07:30:00,2,4,2
Grampy Tom Multi-Age,2024-04-18 08:00:00,2,4,2
Grampy Tom Multi-Age,2024-04-18 08:30:00,1,4,2
Grampy Tom Multi-Age,2024-04-18 09:00:00,1,4,2
Grampy Tom Multi-Age,2024-04-18 09:30:00,1,4,2
Grampy Tom Multi-Age,2024-04-18 10:00:00,1,4,2
Grampy Tom Multi-Age,2024-04-18 10:30:00,1,4,2
Grampy Tom Multi-Age,2024-04-18 11:00:00,1,4,2
Grampy Tom Multi-Age,2024-04-18 11:30:00,1,4,2
Grampy Tom Multi-Age,2024-04-18 12:00:00,1,4,2
Grampy Tom Multi-Age,2024-04-18 12:30:00,1,4,2
Grampy Tom Multi-Age,2024-04-22 07:30:00,2,4,2
Grampy Tom Multi-Age,2024-04-22 08:00:00,1,4,2
Grampy Tom Multi-Age,2024-04-24 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-04-24 08:00:00,1,4,2
Grampy Tom Multi-Age,2024-04-24 08:30:00,1,4,2
Grampy Tom Multi-Age,2024-04-24 09:00:00,1,4,2
Grampy Tom Multi-Age,2024-04-24 09:30:00,1,4,2
Grampy Tom Multi-Age,2024-04-30 07:00:00,1,4,2
Grampy Tom Multi-Age,2024-04-30 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-05-02 07:00:00,1,4,2
Grampy Tom Multi-Age,2024-05-06 07:00:00,1,4,2
Grampy Tom Multi-Age,2024-05-06 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-05-08 07:00:00,2,4,2
Grampy Tom Multi-Age,2024-05-08 07:30:00,2,4,2
Grampy Tom Multi-Age,2024-05-14 07:30:00,2,4,2
Grampy Tom Multi-Age,2024-05-20 07:00:00,1,4,2
Grampy Tom Multi-Age,2024-05-20 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-05-20 08:00:00,2,4,2
Grampy Tom Multi-Age,2024-05-20 08:30:00,2,4,2
Grampy Tom Multi-Age,2024-05-20 09:00:00,1,4,2
Grampy Tom Multi-Age,2024-05-28 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-06-05 07:00:00,1,4,2
Grampy Tom Multi-Age,2024-06-05 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-06-05 08:00:00,1,4,2
Grampy Tom Multi-Age,2024-06-05 08:30:00,1,4,2
Grampy Tom Multi-Age,2024-06-11 07:30:00,2,4,2
Grampy Tom Multi-Age,2024-06-17 07:00:00,1,4,2
Grampy Tom Multi-Age,2024-06-17 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-06-17 08:00:00,1,4,2
Grampy Tom Multi-Age,2024-06-25 06:30:00,1,4,2
Grampy Tom Multi-Age,2024-06-25 07:00:00,1,4,2
Grampy Tom Multi-Age,2024-06-25 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-06-27 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-07-01 08:00:00,1,4,2
Grampy Tom Multi-Age,2024-07-09 06:30:00,1,4,2
Grampy Tom Multi-Age,2024-07-11 06:30:00,1,4,2
Grampy Tom Multi-Age,2024-07-11 07:00:00,1,4,2
Grampy Tom Multi-Age,2024-07-11 07:30:00,3,4,2
Grampy Tom Multi-Age,2024-07-11 08:00:00,2,4,2
Grampy Tom Multi-Age,2024-07-11 08:30:00,1,4,2
Grampy Tom Multi-Age,2024-07-11 09:00:00,1,4,2
Grampy Tom Multi-Age,2024-07-11 09:30:00,1,4,2
Grampy Tom Multi-Age,2024-07-11 10:00:00,1,4,2
Grampy Tom Multi-Age,2024-07-11 10:30:00,1,4,2
Grampy Tom Multi-Age,2024-07-11 11:00:00,1,4,2
Grampy Tom Multi-Age,2024-07-11 11:30:00,1,4,2
Grampy Tom Multi-Age,2024-07-11 12:00:00,1,4,2
Grampy Tom Multi-Age,2024-07-11 12:30:00,1,4,2
Grampy Tom Multi-Age,2024-07-11 13:00:00,1,4,2
Grampy Tom Multi-Age,2024-07-15 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-07-15 08:00:00,1,4,2
Grampy Tom Multi-Age,2024-07-15 08:30:00,1,4,2
Grampy Tom Multi-Age,2024-07-15 09:00:00,1,4,2
Grampy Tom Multi-Age,2024-07-17 07:30:00,2,4,2
Grampy Tom Multi-Age,2024-07-17 08:00:00,1,4,2
Grampy Tom Multi-Age,2024-07-17 08:30:00,1,4,2
Grampy Tom Multi-Age,2024-07-17 09:00:00,1,4,2
Grampy Tom Multi-Age,2024-07-17 09:30:00,1,4,2
Grampy Tom Multi-Age,2024-07-25 06:30:00,1,4,2
Grampy Tom Multi-Age,2024-08-14 06:30:00,1,4,2
Grampy Tom Multi-Age,2024-08-14 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-08-14 08:00:00,2,4,2
Grampy Tom Multi-Age,2024-08-14 08:30:00,1,4,2
Grampy Tom Multi-Age,2024-08-14 09:00:00,1,4,2
Grampy Tom Multi-Age,2024-08-22 07:00:00,1,4,2
Grampy Tom Multi-Age,2024-08-22 08:00:00,1,4,2
Grampy Tom Multi-Age,2024-08-22 08:30:00,1,4,2
Grampy Tom Multi-Age,2024-08-26 06:30:00,1,4,2
Grampy Tom Multi-Age,2024-08-26 07:00:00,1,4,2
Grampy Tom Multi-Age,2024-08-26 08:00:00,1,4,2
Grampy Tom Multi-Age,2024-08-26 09:00:00,1,4,2
Grampy Tom Multi-Age,2024-08-26 09:30:00,1,4,2
Grampy Tom Multi-Age,2024-08-26 10:00:00,1,4,2
Grampy Tom Multi-Age,2024-08-26 10:30:00,1,4,2
Grampy Tom Multi-Age,2024-08-26 11:00:00,1,4,2
Grampy Tom Multi-Age,2024-08-28 06:30:00,1,4,2
Grampy Tom Multi-Age,2024-08-28 08:30:00,1,4,2
Grampy Tom Multi-Age,2024-09-03 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-09-03 08:00:00,1,4,2
Grampy Tom Multi-Age,2024-09-03 08:30:00,2,4,2
Grampy Tom Multi-Age,2024-09-03 09:00:00,1,4,2
Grampy Tom Multi-Age,2024-09-03 15:30:00,1,4,2
Grampy Tom Multi-Age,2024-09-03 16:00:00,1,4,2
Grampy Tom Multi-Age,2024-09-03 16:30:00,1,4,2
Grampy Tom Multi-Age,2024-09-03 17:00:00,1,4,2
Grampy Tom Multi-Age,2024-09-03 17:30:00,1,4,2
Grampy Tom Multi-Age,2024-09-05 07:00:00,1,4,2
Grampy Tom Multi-Age,2024-09-05 07:30:00,2,4,2
Grampy Tom Multi-Age,2024-09-05 08:00:00,1,4,2
Grampy Tom Multi-Age,2024-09-09 06:30:00,1,4,2
Grampy Tom Multi-Age,2024-09-09 08:00:00,1,4,2
Grampy Tom Multi-Age,2024-09-11 06:30:00,1,4,2
Grampy Tom Multi-Age,2024-09-11 08:00:00,1,4,2
Grampy Tom Multi-Age,2024-09-11 08:30:00,1,4,2
Grampy Tom Multi-Age,2024-09-17 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-09-17 08:00:00,1,4,2
Grampy Tom Multi-Age,2024-09-17 08:30:00,1,4,2
Grampy Tom Multi-Age,2024-09-17 09:00:00,1,4,2
Grampy Tom Multi-Age,2024-09-17 09:30:00,1,4,2
Grampy Tom Multi-Age,2024-09-17 17:00:00,1,4,2
Grampy Tom Multi-Age,2024-09-19 06:30:00,1,4,2
Grampy Tom Multi-Age,2024-09-19 07:00:00,1,4,2
Grampy Tom Multi-Age,2024-09-19 07:30:00,1,4,2
Grampy Tom Multi-Age,2024-09-19 08:00:00,2,4,2
Grampy Tom Multi-Age,2024-09-19 08:30:00,3,4,2
Grampy Tom Multi-Age,2024-09-19 09:00:00,3,4,2
Grampy Tom Multi-Age,2024-09-19 16:30:00,1,4,2
Grampy Tom Multi-Age,2024-09-19 17:00:00,1,4,2
Grampy Tom Multi-Age,2024-09-23 06:30:00,1,4,2
