Room,BlockStart,StudentCount,Ratio,RequiredStaff
Dinosaur Stomp,2022-01-03 07:30:00,2,12,2
Dinosaur Stomp,2022-01-03 08:00:00,1,12,2
Dinosaur Stomp,2022-01-03 08:30:00,1,12,2
Dinosaur Stomp,2022-01-05 07:30:00,1,12,2
Dinosaur Stomp,2022-01-05 08:00:00,5,12,2
Dinosaur Stomp,2022-01-05 09:00:00,1,12,2
Dinosaur Stomp,2022-01-11 07:30:00,2,12,2
Dinosaur Stomp,2022-01-11 08:00:00,2,12,2
Dinosaur Stomp,2022-01-11 08:30:00,2,12,2
Dinosaur Stomp,2022-01-11 09:00:00,1,12,2
Dinosaur Stomp,2022-01-13 07:30:00,2,12,2
Dinosaur Stomp,2022-01-13 08:00:00,3,12,2
Dinosaur Stomp,2022-01-19 07:30:00,1,12,2
Dinosaur Stomp,2022-01-19 08:00:00,3,12,2
Dinosaur Stomp,2022-01-19 08:30:00,1,12,2
Dinosaur Stomp,2022-01-25 07:30:00,3,12,2
Dinosaur Stomp,2022-01-25 08:00:00,5,12,2
Dinosaur Stomp,2022-01-25 08:30:00,2,12,2
Dinosaur Stomp,2022-01-27 07:30:00,1,12,2
Dinosaur Stomp,2022-01-27 08:00:00,4,12,2
Dinosaur Stomp,2022-01-27 08:30:00,2,12,2
Dinosaur Stomp,2022-01-31 07:30:00,1,12,2
Dinosaur Stomp,2022-01-31 08:00:00,2,12,2
Dinosaur Stomp,2022-02-02 07:30:00,1,12,2
Dinosaur Stomp,2022-02-02 08:30:00,1,12,2
Dinosaur Stomp,2022-02-08 07:30:00,2,12,2
Dinosaur Stomp,2022-02-08 08:00:00,4,12,2
Dinosaur Stomp,2022-02-08 08:30:00,2,12,2
Dinosaur Stomp,2022-02-08 09:00:00,1,12,2
Dinosaur Stomp,2022-02-10 07:30:00,2,12,2
Dinosaur Stomp,2022-02-10 08:00:00,5,12,2
Dinosaur Stomp,2022-02-10 08:30:00,3,12,2
Dinosaur Stomp,2022-02-10 09:00:00,1,12,2
Dinosaur Stomp,2022-02-10 09:30:00,1,12,2
Dinosaur Stomp,2022-02-10 10:00:00,1,12,2
Dinosaur Stomp,2022-02-14 07:00:00,1,12,2
Dinosaur Stomp,2022-02-14 07:30:00,1,12,2
Dinosaur Stomp,2022-02-14 08:00:00,2,12,2
Dinosaur Stomp,2022-02-14 08:30:00,2,12,2
Dinosaur Stomp,2022-02-16 07:00:00,1,12,2
Dinosaur Stomp,2022-02-16 07:30:00,6,12,2
Dinosaur Stomp,2022-02-16 08:00:00,4,12,2
Dinosaur Stomp,2022-02-16 08:30:00,3,12,2
Dinosaur Stomp,2022-02-22 07:30:00,2,12,2
Dinosaur Stomp,2022-02-22 08:00:00,2,12,2
Dinosaur Stomp,2022-02-22 08:30:00,1,12,2
Dinosaur Stomp,2022-02-22 09:00:00,1,12,2
Dinosaur Stomp,2022-02-24 07:30:00,4,12,2
Dinosaur Stomp,2022-02-24 08:00:00,5,12,2
Dinosaur Stomp,2022-02-24 08:30:00,1,12,2
Dinosaur Stomp,2022-02-28 08:00:00,1,12,2
Dinosaur Stomp,2022-03-02 07:30:00,5,12,2
Dinosaur Stomp,2022-03-02 08:00:00,7,12,2
Dinosaur Stomp,2022-03-02 08:30:00,2,12,2
Dinosaur Stomp,2022-03-08 07:30:00,2,12,2
Dinosaur Stomp,2022-03-08 08:00:00,4,12,2
Dinosaur Stomp,2022-03-10 07:00:00,1,12,2
Dinosaur Stomp,2022-03-10 07:30:00,4,12,2
Dinosaur Stomp,2022-03-10 08:00:00,6,12,2
Dinosaur Stomp,2022-03-10 08:30:00,3,12,2
Dinosaur Stomp,2022-03-10 09:00:00,1,12,2
Dinosaur Stomp,2022-03-14 08:00:00,2,12,2
Dinosaur Stomp,2022-03-14 08:30:00,4,12,2
Dinosaur Stomp,2022-03-14 09:00:00,1,12,2
Dinosaur Stomp,2022-03-16 07:30:00,1,12,2
Dinosaur Stomp,2022-03-16 08:00:00,3,12,2
Dinosaur Stomp,2022-03-16 08:30:00,4,12,2
Dinosaur Stomp,2022-03-16 09:00:00,2,12,2
Dinosaur Stomp,2022-03-22 07:00:00,1,12,2
Dinosaur Stomp,2022-03-22 07:30:00,3,12,2
Dinosaur Stomp,2022-03-22 08:00:00,5,12,2
Dinosaur Stomp,2022-03-22 08:30:00,3,12,2
Dinosaur Stomp,2022-03-22 09:00:00,1,12,2
Dinosaur Stomp,2022-03-22 09:30:00,1,12,2
Dinosaur Stomp,2022-03-22 10:00:00,1,12,2
Dinosaur Stomp,2022-03-22 10:30:00,1,12,2
Dinosaur Stomp,2022-03-24 07:30:00,2,12,2
Dinosaur Stomp,2022-03-24 08:00:00,6,12,2
Dinosaur Stomp,2022-03-24 08:30:00,2,12,2
Dinosaur Stomp,2022-03-24 09:00:00,1,12,2
Dinosaur Stomp,2022-03-24 09:30:00,1,12,2
Dinosaur Stomp,2022-03-28 07:30:00,1,12,2
Dinosaur Stomp,2022-03-28 08:00:00,3,12,2
Dinosaur Stomp,2022-03-28 08:30:00,1,12,2
Dinosaur Stomp,2022-03-30 08:00:00,1,12,2
Dinosaur Stomp,2022-03-30 08:30:00,2,12,2
Dinosaur Stomp,2022-03-30 09:00:00,1,12,2
Dinosaur Stomp,2022-04-05 07:30:00,1,12,2
Dinosaur Stomp,2022-04-05 08:00:00,2,12,2
Dinosaur Stomp,2022-04-05 08:30:00,3,12,2
Dinosaur Stomp,2022-04-07 07:30:00,1,12,2
Dinosaur Stomp,2022-04-07 08:00:00,3,12,2
Dinosaur Stomp,2022-04-07 08:30:00,2,12,2
Dinosaur Stomp,2022-04-11 07:30:00,2,12,2
Dinosaur Stomp,2022-04-11 08:00:00,4,12,2
Dinosaur Stomp,2022-04-11 08:30:00,3,12,2
Dinosaur Stomp,2022-04-11 09:00:00,1,12,2
Dinosaur Stomp,2022-04-13 08:00:00,1,12,2
Dinosaur Stomp,2022-04-13 08:30:00,2,12,2
Dinosaur Stomp,2022-04-19 06:30:00,1,12,2
Dinosaur Stomp,2022-04-19 07:00:00,1,12,2
Dinosaur Stomp,2022-04-19 07:30:00,5,12,2
Dinosaur Stomp,2022-04-19 08:00:00,7,12,2
Dinosaur Stomp,2022-04-19 08:30:00,6,12,2
Dinosaur Stomp,2022-04-21 07:30:00,3,12,2
Dinosaur Stomp,2022-04-21 08:00:00,3,12,2
Dinosaur Stomp,2022-04-21 08:30:00,3,12,2
Dinosaur Stomp,2022-04-25 07:30:00,2,12,2
Dinosaur Stomp,2022-04-25 08:00:00,4,12,2
Dinosaur Stomp,2022-04-25 08:30:00,3,12,2
Dinosaur Stomp,2022-04-27 07:00:00,2,12,2
Dinosaur Stomp,2022-04-27 07:30:00,5,12,2
Dinosaur Stomp,2022-04-27 08:00:00,3,12,2
Dinosaur Stomp,2022-04-27 08:30:00,1,12,2
Dinosaur Stomp,2022-05-03 07:00:00,1,12,2
Dinosaur Stomp,2022-05-03 07:30:00,6,12,2
Dinosaur Stomp,2022-05-03 08:00:00,7,12,2
Dinosaur Stomp,2022-05-03 08:30:00,5,12,2
Dinosaur Stomp,2022-05-03 09:00:00,2,12,2
Dinosaur Stomp,2022-05-03 09:30:00,1,12,2
Dinosaur Stomp,2022-05-03 10:00:00,1,12,2
Dinosaur Stomp,2022-05-05 07:30:00,4,12,2
Dinosaur Stomp,2022-05-05 08:00:00,5,12,2
Dinosaur Stomp,2022-05-05 08:30:00,2,12,2
Dinosaur Stomp,2022-05-09 07:00:00,1,12,2
Dinosaur Stomp,2022-05-09 07:30:00,4,12,2
Dinosaur Stomp,2022-05-09 08:00:00,3,12,2
Dinosaur Stomp,2022-05-09 08:30:00,3,12,2
Dinosaur Stomp,2022-05-11 07:30:00,1,12,2
Dinosaur Stomp,2022-05-11 08:00:00,4,12,2
Dinosaur Stomp,2022-05-11 08:30:00,4,12,2
Dinosaur Stomp,2022-05-11 09:00:00,1,12,2
Dinosaur Stomp,2022-05-17 07:00:00,1,12,2
Dinosaur Stomp,2022-05-17 07:30:00,6,12,2
Dinosaur Stomp,2022-05-17 08:00:00,6,12,2
Dinosaur Stomp,2022-05-17 08:30:00,2,12,2
Dinosaur Stomp,2022-05-19 07:00:00,2,12,2
Dinosaur Stomp,2022-05-19 07:30:00,6,12,2
Dinosaur Stomp,2022-05-19 08:00:00,6,12,2
Dinosaur Stomp,2022-05-19 08:30:00,2,12,2
Dinosaur Stomp,2022-05-23 07:30:00,1,12,2
Dinosaur Stomp,2022-05-23 08:00:00,3,12,2
Dinosaur Stomp,2022-05-23 08:30:00,4,12,2
Dinosaur Stomp,2022-05-23 09:00:00,1,12,2
Dinosaur Stomp,2022-05-25 07:30:00,3,12,2
Dinosaur Stomp,2022-05-25 08:00:00,4,12,2
Dinosaur Stomp,2022-05-25 08:30:00,1,12,2
Dinosaur Stomp,2022-05-31 07:30:00,2,12,2
Dinosaur Stomp,2022-05-31 08:00:00,2,12,2
Dinosaur Stomp,2022-05-31 08:30:00,2,12,2
Dinosaur Stomp,2022-05-31 09:00:00,1,12,2
Dinosaur Stomp,2022-05-31 09:30:00,1,12,2
Dinosaur Stomp,2022-06-02 07:00:00,1,12,2
Dinosaur Stomp,2022-06-02 07:30:00,3,12,2
Dinosaur Stomp,2022-06-02 08:00:00,1,12,2
Dinosaur Stomp,2022-06-02 09:00:00,1,12,2
Dinosaur Stomp,2022-06-02 09:30:00,1,12,2
Dinosaur Stomp,2022-06-06 07:30:00,1,12,2
Dinosaur Stomp,2022-06-06 08:00:00,3,12,2
Dinosaur Stomp,2022-06-06 08:30:00,1,12,2
Dinosaur Stomp,2022-06-08 07:30:00,2,12,2
Dinosaur Stomp,2022-06-08 08:00:00,4,12,2
Dinosaur Stomp,2022-06-08 08:30:00,1,12,2
Dinosaur Stomp,2022-06-14 07:00:00,1,12,2
Dinosaur Stomp,2022-06-14 07:30:00,2,12,2
Dinosaur Stomp,2022-06-14 08:00:00,3,12,2
Dinosaur Stomp,2022-06-14 08:30:00,2,12,2
Dinosaur Stomp,2022-06-16 07:30:00,7,12,2
Dinosaur Stomp,2022-06-16 08:00:00,7,12,2
Dinosaur Stomp,2022-06-16 08:30:00,2,12,2
Dinosaur Stomp,2022-06-16 09:00:00,1,12,2
Dinosaur Stomp,2022-06-20 07:30:00,3,12,2
Dinosaur Stomp,2022-06-20 08:00:00,3,12,2
Dinosaur Stomp,2022-06-20 08:30:00,3,12,2
Dinosaur Stomp,2022-06-22 07:30:00,4,12,2
Dinosaur Stomp,2022-06-22 08:00:00,3,12,2
Dinosaur Stomp,2022-06-22 08:30:00,2,12,2
Dinosaur Stomp,2022-06-22 09:00:00,1,12,2
Dinosaur Stomp,2022-06-28 07:30:00,2,12,2
Dinosaur Stomp,2022-06-28 08:00:00,4,12,2
Dinosaur Stomp,2022-06-28 08:30:00,3,12,2
Dinosaur Stomp,2022-06-30 07:30:00,3,12,2
Dinosaur Stomp,2022-06-30 08:00:00,5,12,2
Dinosaur Stomp,2022-06-30 08:30:00,5,12,2
Dinosaur Stomp,2022-06-30 09:00:00,1,12,2
Dinosaur Stomp,2022-06-30 09:30:00,1,12,2
Dinosaur Stomp,2022-06-30 10:00:00,1,12,2
Dinosaur Stomp,2022-06-30 10:30:00,1,12,2
Dinosaur Stomp,2022-06-30 11:00:00,1,12,2
Dinosaur Stomp,2022-06-30 11:30:00,1,12,2
Dinosaur Stomp,2022-06-30 12:00:00,1,12,2
Dinosaur Stomp,2022-07-06 08:00:00,3,12,2
Dinosaur Stomp,2022-07-06 08:30:00,1,12,2
Dinosaur Stomp,2022-07-06 09:00:00,1,12,2
Dinosaur Stomp,2022-07-06 09:30:00,1,12,2
Dinosaur Stomp,2022-07-06 10:00:00,1,12,2
Dinosaur Stomp,2022-07-12 07:30:00,5,12,2
Dinosaur Stomp,2022-07-12 08:00:00,6,12,2
Dinosaur Stomp,2022-07-12 08:30:00,2,12,2
Dinosaur Stomp,2022-07-12 09:00:00,1,12,2
Dinosaur Stomp,2022-07-14 08:00:00,3,12,2
Dinosaur Stomp,2022-07-14 08:30:00,3,12,2
Dinosaur Stomp,2022-07-18 07:30:00,2,12,2
Dinosaur Stomp,2022-07-18 08:00:00,2,12,2
Dinosaur Stomp,2022-07-18 08:30:00,4,12,2
Dinosaur Stomp,2022-07-20 07:30:00,1,12,2
Dinosaur Stomp,2022-07-20 08:00:00,2,12,2
Dinosaur Stomp,2022-07-26 07:00:00,1,12,2
Dinosaur Stomp,2022-07-26 07:30:00,4,12,2
Dinosaur Stomp,2022-07-26 08:00:00,7,12,2
Dinosaur Stomp,2022-07-26 08:30:00,5,12,2
Dinosaur Stomp,2022-07-26 09:00:00,1,12,2
Dinosaur Stomp,2022-07-26 09:30:00,1,12,2
Dinosaur Stomp,2022-07-26 10:00:00,1,12,2
Dinosaur Stomp,2022-07-26 10:30:00,1,12,2
Dinosaur Stomp,2022-07-28 09:30:00,1,12,2
Dinosaur Stomp,2022-07-28 10:00:00,1,12,2
Dinosaur Stomp,2022-07-28 10:30:00,1,12,2
Dinosaur Stomp,2022-07-28 11:00:00,1,12,2
Dinosaur Stomp,2022-08-01 07:30:00,1,12,2
Dinosaur Stomp,2022-08-01 08:00:00,3,12,2
Dinosaur Stomp,2022-08-01 08:30:00,2,12,2
Dinosaur Stomp,2022-08-01 09:00:00,1,12,2
Dinosaur Stomp,2022-08-01 09:30:00,1,12,2
Dinosaur Stomp,2022-08-03 07:00:00,1,12,2
Dinosaur Stomp,2022-08-03 07:30:00,2,12,2
Dinosaur Stomp,2022-08-03 08:00:00,2,12,2
Dinosaur Stomp,2022-08-03 08:30:00,2,12,2
Dinosaur Stomp,2022-08-09 07:00:00,1,12,2
Dinosaur Stomp,2022-08-09 07:30:00,1,12,2
Dinosaur Stomp,2022-08-09 08:00:00,1,12,2
Dinosaur Stomp,2022-08-09 08:30:00,1,12,2
Dinosaur Stomp,2022-08-09 09:00:00,1,12,2
Dinosaur Stomp,2022-08-11 07:30:00,2,12,2
Dinosaur Stomp,2022-08-11 08:00:00,2,12,2
Dinosaur Stomp,2022-08-15 07:30:00,1,12,2
Dinosaur Stomp,2022-08-15 08:00:00,1,12,2
Dinosaur Stomp,2022-08-15 08:30:00,1,12,2
Dinosaur Stomp,2022-08-15 09:00:00,1,12,2
Dinosaur Stomp,2022-08-17 08:00:00,2,12,2
Dinosaur Stomp,2022-08-17 08:30:00,2,12,2
Dinosaur Stomp,2022-08-23 06:30:00,1,12,2
Dinosaur Stomp,2022-08-23 07:00:00,1,12,2
Dinosaur Stomp,2022-08-23 07:30:00,1,12,2
Dinosaur Stomp,2022-08-23 08:00:00,5,12,2
Dinosaur Stomp,2022-08-23 08:30:00,1,12,2
Dinosaur Stomp,2022-08-31 06:30:00,1,12,2
Dinosaur Stomp,2022-08-31 07:00:00,1,12,2
Dinosaur Stomp,2022-08-31 07:30:00,1,12,2
Dinosaur Stomp,2022-08-31 08:00:00,5,12,2
Dinosaur Stomp,2022-08-31 08:30:00,3,12,2
Dinosaur Stomp,2022-09-06 07:00:00,1,12,2
Dinosaur Stomp,2022-09-06 07:30:00,2,12,2
Dinosaur Stomp,2022-09-06 08:00:00,3,12,2
Dinosaur Stomp,2022-09-06 08:30:00,3,12,2
Dinosaur Stomp,2022-09-06 09:00:00,2,12,2
Dinosaur Stomp,2022-09-08 07:00:00,1,12,2
Dinosaur Stomp,2022-09-08 07:30:00,5,12,2
Dinosaur Stomp,2022-09-08 08:00:00,6,12,2
Dinosaur Stomp,2022-09-08 08:30:00,1,12,2
Dinosaur Stomp,2022-09-08 09:00:00,1,12,2
Dinosaur Stomp,2022-09-08 09:30:00,1,12,2
Dinosaur Stomp,2022-09-08 10:00:00,1,12,2
Dinosaur Stomp,2022-09-08 10:30:00,1,12,2
Dinosaur Stomp,2022-09-08 11:00:00,1,12,2
Dinosaur Stomp,2022-09-08 11:30:00,1,12,2
Dinosaur Stomp,2022-09-08 12:00:00,1,12,2
Dinosaur Stomp,2022-09-08 12:30:00,1,12,2
Dinosaur Stomp,2022-09-08 13:00:00,1,12,2
Dinosaur Stomp,2022-09-12 07:30:00,2,12,2
Dinosaur Stomp,2022-09-12 08:00:00,3,12,2
Dinosaur Stomp,2022-09-12 08:30:00,3,12,2
Dinosaur Stomp,2022-09-14 07:30:00,3,12,2
Dinosaur Stomp,2022-09-14 08:00:00,2,12,2
Dinosaur Stomp,2022-09-14 08:30:00,1,12,2
Dinosaur Stomp,2022-09-14 09:00:00,1,12,2
Dinosaur Stomp,2022-09-20 07:00:00,2,12,2
Dinosaur Stomp,2022-09-20 07:30:00,1,12,2
Dinosaur Stomp,2022-09-20 08:00:00,4,12,2
Dinosaur Stomp,2022-09-20 08:30:00,1,12,2
Dinosaur Stomp,2022-09-22 07:30:00,1,12,2
Dinosaur Stomp,2022-09-22 08:00:00,4,12,2
Dinosaur Stomp,2022-09-22 08:30:00,4,12,2
Dinosaur Stomp,2022-09-22 09:00:00,2,12,2
Dinosaur Stomp,2022-09-22 09:30:00,1,12,2
Dinosaur Stomp,2022-09-22 10:00:00,1,12,2
Dinosaur Stomp,2022-09-22 10:30:00,1,12,2
Dinosaur Stomp,2022-09-26 07:30:00,1,12,2
Dinosaur Stomp,2022-09-26 08:00:00,1,12,2
Dinosaur Stomp,2022-09-26 08:30:00,2,12,2
Dinosaur Stomp,2022-09-26 09:00:00,2,12,2
Dinosaur Stomp,2022-09-26 09:30:00,2,12,2
Dinosaur Stomp,2022-09-28 07:30:00,1,12,2
Dinosaur Stomp,2022-09-28 08:00:00,3,12,2
Dinosaur Stomp,2022-09-28 08:30:00,1,12,2
Dinosaur Stomp,2022-10-04 07:00:00,1,12,2
Dinosaur Stomp,2022-10-04 07:30:00,2,12,2
Dinosaur Stomp,2022-10-04 08:00:00,4,12,2
Dinosaur Stomp,2022-10-04 08:30:00,3,12,2
Dinosaur Stomp,2022-10-04 09:00:00,3,12,2
Dinosaur Stomp,2022-10-04 09:30:00,3,12,2
Dinosaur Stomp,2022-10-04 10:00:00,1,12,2
Dinosaur Stomp,2022-10-04 10:30:00,1,12,2
