Room,BlockStart,StudentCount,Ratio,RequiredStaff,day_of_week,week_of_year,lag_1,lag_7,LowerBound,UpperBound,Anomaly,Date
Pre-K2,2022-01-05 07:00:00,2,12,2,2,1,1.0,2.0,-0.5,3.5,Normal,2022-01-05
Pre-K2,2022-01-05 07:30:00,2,12,2,2,1,2.0,2.0,-0.5,3.5,Normal,2022-01-05
Pre-K1,2022-01-05 07:30:00,2,12,2,2,1,2.0,1.0,-0.5,3.5,Normal,2022-01-05
Dinosaur Stomp,2022-01-05 07:30:00,1,12,2,2,1,2.0,1.0,-2.0,6.0,Normal,2022-01-05
Pennie Preschool 1,2022-01-05 07:30:00,2,10,2,2,1,1.0,1.0,-0.5,3.5,Normal,2022-01-05
Wild Things,2022-01-05 08:00:00,1,10,2,2,1,2.0,1.0,-2.0,6.0,Normal,2022-01-05
Dinosaur Stomp,2022-01-05 08:00:00,5,12,2,2,1,1.0,1.0,-2.0,6.0,Normal,2022-01-05
Pre-K2,2022-01-05 08:00:00,2,12,2,2,1,5.0,2.0,-0.5,3.5,Normal,2022-01-05
Wild Things,2022-01-05 08:30:00,1,10,2,2,1,2.0,2.0,-2.0,6.0,Normal,2022-01-05
Pre-K2,2022-01-05 08:30:00,1,12,2,2,1,1.0,2.0,-0.5,3.5,Normal,2022-01-05
Pre-K2,2022-01-05 09:00:00,1,12,2,2,1,1.0,1.0,-0.5,3.5,Normal,2022-01-05
Dinosaur Stomp,2022-01-05 09:00:00,1,12,2,2,1,1.0,2.0,-2.0,6.0,Normal,2022-01-05
Pre-K2,2022-01-05 09:30:00,1,12,2,2,1,1.0,1.0,-0.5,3.5,Normal,2022-01-05
Pre-K2,2022-01-05 10:00:00,1,12,2,2,1,1.0,5.0,-0.5,3.5,Normal,2022-01-05
Pre-K2,2022-01-05 10:30:00,1,12,2,2,1,1.0,2.0,-0.5,3.5,Normal,2022-01-05
Pre-K1,2022-01-11 07:00:00,1,12,2,1,2,1.0,1.0,-0.5,3.5,Normal,2022-01-11
Pennie Preschool 1,2022-01-11 07:00:00,1,10,2,1,2,1.0,1.0,-0.5,3.5,Normal,2022-01-11
